Metodo,TamanhoBuffer,TempoGasto,BytesCopiados
fread/fwrite,1,261.835185,104857590
read/write,1,467.498635,104857590
fread/fwrite,2,127.836927,104857590
read/write,2,225.213138,104857590
fread/fwrite,4,62.947021,104857590
read/write,4,113.855811,104857590
fread/fwrite,8,31.620293,104857590
read/write,8,56.814623,104857590
fread/fwrite,12,21.180465,104857590
read/write,12,38.037743,104857590
fread/fwrite,16,15.833361,104857590
read/write,16,28.374420,104857590
fread/fwrite,20,12.650456,104857590
read/write,20,22.891831,104857590
fread/fwrite,24,10.648532,104857590
read/write,24,19.049922,104857590
fread/fwrite,28,9.108881,104857590
read/write,28,16.302359,104857590
fread/fwrite,32,7.988983,104857590
read/write,32,14.295909,104857590
fread/fwrite,64,4.048754,104857590
read/write,64,7.205158,104857590
fread/fwrite,128,2.045101,104857590
read/write,128,3.616071,104857590
fread/fwrite,256,1.079009,104857590
read/write,256,1.876995,104857590
fread/fwrite,512,0.579614,104857590
read/write,512,0.976083,104857590
fread/fwrite,1024,0.336812,104857590
read/write,1024,0.513292,104857590
fread/fwrite,2048,0.208007,104857590
read/write,2048,0.278274,104857590
fread/fwrite,4096,0.142905,104857590
read/write,4096,0.121579,104857590
fread/fwrite,8192,0.086489,104857590
read/write,8192,0.083229,104857590
fread/fwrite,12288,0.091585,104857590
read/write,12288,0.076390,104857590
fread/fwrite,16384,0.080715,104857590
read/write,16384,0.074847,104857590
fread/fwrite,20480,0.071837,104857590
read/write,20480,0.067959,104857590
fread/fwrite,24576,0.069324,104857590
read/write,24576,0.065418,104857590
fread/fwrite,28672,0.067894,104857590
read/write,28672,0.064999,104857590
fread/fwrite,32768,0.068388,104857590
read/write,32768,0.059042,104857590
fread/fwrite,65536,0.055544,104857590
read/write,65536,0.054595,104857590
fread/fwrite,131072,0.051861,104857590
read/write,131072,0.051672,104857590
fread/fwrite,262144,0.050234,104857590
read/write,262144,0.051987,104857590
fread/fwrite,524288,0.053695,104857590
read/write,524288,0.057103,104857590
fread/fwrite,1048576,0.058654,104857590
read/write,1048576,0.060914,104857590
fread/fwrite,2097152,0.060321,104857590
read/write,2097152,0.062476,104857590
