Metodo,TamanhoBuffer,TempoGasto,BytesCopiados
fread/fwrite,512,648.292000,134217720
read/write,512,636.924000,134217720
fread/fwrite,4096,81.794000,134217720
read/write,4096,83.181000,134217720
fread/fwrite,8192,40.156000,134217720
read/write,8192,41.249000,134217720
fread/fwrite,16384,20.595000,134217720
read/write,16384,21.483000,134217720
fread/fwrite,65536,5.164000,134217720
read/write,65536,6.661000,134217720
fread/fwrite,131072,3.014000,134217720
read/write,131072,3.840000,134217720
fread/fwrite,262144,1.241000,134217720
read/write,262144,2.629000,134217720
fread/fwrite,1048576,0.458000,134217720
read/write,1048576,1.453000,134217720
