Metodo,TamanhoBuffer,TempoGasto,BytesCopiados
fread/fwrite,512,3044.439000,696444840
read/write,512,3501.705000,696444840
fread/fwrite,4096,445.079000,696444840
read/write,4096,455.219000,696444840
fread/fwrite,8192,226.989000,696444840
read/write,8192,242.454000,696444840
fread/fwrite,16384,125.958000,696444840
read/write,16384,128.012000,696444840
fread/fwrite,65536,31.387000,696444840
read/write,65536,32.850000,696444840
fread/fwrite,131072,15.657000,696444840
read/write,131072,20.269000,696444840
fread/fwrite,262144,8.455000,696444840
read/write,262144,14.779000,696444840
fread/fwrite,1048576,3.614000,696444840
read/write,1048576,8.262000,696444840
