Metodo,TamanhoBuffer,TempoGasto,BytesCopiados
fread/fwrite,8192,427.626000,1073741820
read/write,8192,469.539000,1073741820
fread/fwrite,8192,463.197000,1073741820
read/write,8192,469.063000,1073741820
fread/fwrite,8192,481.013000,1073741820
read/write,8192,493.140000,1073741820
fread/fwrite,8192,727.043000,1073741820
read/write,8192,461.354000,1073741820
fread/fwrite,8192,517.853000,1073741820
read/write,8192,499.829000,1073741820
fread/fwrite,8192,499.933000,1073741820
read/write,8192,508.222000,1073741820
fread/fwrite,8192,484.764000,1073741820
read/write,8192,384.514000,1073741820
fread/fwrite,8192,370.960000,1073741820
read/write,8192,407.587000,1073741820
fread/fwrite,8192,397.022000,1073741820
read/write,8192,439.315000,1073741820
fread/fwrite,8192,499.645000,1073741820
read/write,8192,630.510000,1073741820
fread/fwrite,8192,391.028000,1073741820
read/write,8192,366.064000,1073741820
fread/fwrite,8192,356.788000,1073741820
read/write,8192,371.895000,1073741820
fread/fwrite,8192,375.190000,1073741820
read/write,8192,389.018000,1073741820
fread/fwrite,8192,384.635000,1073741820
read/write,8192,382.082000,1073741820
fread/fwrite,8192,378.236000,1073741820
read/write,8192,438.252000,1073741820
fread/fwrite,8192,515.179000,1073741820
read/write,8192,396.261000,1073741820
fread/fwrite,8192,349.959000,1073741820
read/write,8192,353.701000,1073741820
fread/fwrite,8192,349.475000,1073741820
read/write,8192,356.248000,1073741820
fread/fwrite,8192,350.129000,1073741820
read/write,8192,356.340000,1073741820
fread/fwrite,8192,350.166000,1073741820
read/write,8192,367.382000,1073741820
fread/fwrite,8192,354.716000,1073741820
read/write,8192,356.191000,1073741820
fread/fwrite,8192,354.768000,1073741820
read/write,8192,357.152000,1073741820
fread/fwrite,8192,350.351000,1073741820
read/write,8192,359.267000,1073741820
fread/fwrite,8192,353.006000,1073741820
read/write,8192,359.180000,1073741820
fread/fwrite,8192,354.617000,1073741820
read/write,8192,358.185000,1073741820
fread/fwrite,8192,352.828000,1073741820
read/write,8192,357.628000,1073741820
fread/fwrite,8192,351.101000,1073741820
read/write,8192,357.849000,1073741820
fread/fwrite,8192,351.070000,1073741820
read/write,8192,358.153000,1073741820
fread/fwrite,8192,350.182000,1073741820
read/write,8192,355.680000,1073741820
fread/fwrite,8192,349.927000,1073741820
read/write,8192,354.067000,1073741820
